topic_id,topic_keyword,keyword_importance,keyword_count_in_topic,median_engmt_of_tweets_w_keyword,topic_name
10,new,0.25413778,1441.0,2.4819810952270394,"Airline growth (i.e. new routes, aircraft, offerings)"
10,good,0.18208633,364.0,1.6598402481890762,"Airline growth (i.e. new routes, aircraft, offerings)"
10,plan,0.07936661,573.0,1.8912064238151194,"Airline growth (i.e. new routes, aircraft, offerings)"
10,join,0.058699194,268.0,1.6312598341140334,"Airline growth (i.e. new routes, aircraft, offerings)"
10,deal,0.04856713,263.0,1.3474908517130397,"Airline growth (i.e. new routes, aircraft, offerings)"
10,follow,0.044906083,277.0,1.919601189429599,"Airline growth (i.e. new routes, aircraft, offerings)"
10,final,0.040259562,94.0,1.6020898492764906,"Airline growth (i.e. new routes, aircraft, offerings)"
10,enter,0.031705208,197.0,1.6022330300318806,"Airline growth (i.e. new routes, aircraft, offerings)"
10,sure,0.027836075,204.0,1.6815809422820842,"Airline growth (i.e. new routes, aircraft, offerings)"
10,delivery,0.026261244,46.0,3.9523708673396962,"Airline growth (i.e. new routes, aircraft, offerings)"
11,time,0.315364,617.0,1.7875618533513271,Scenic/peaceful travel destinations
11,know,0.15457131,382.0,1.7666402514628792,Scenic/peaceful travel destinations
11,night,0.11584148,160.0,1.6931197138053713,Scenic/peaceful travel destinations
11,beautiful,0.053024158,196.0,2.2210949548675942,Scenic/peaceful travel destinations
11,moment,0.05064174,125.0,2.339236279299392,Scenic/peaceful travel destinations
11,stay,0.046852876,153.0,1.3767595321117403,Scenic/peaceful travel destinations
11,hour,0.035633106,220.0,1.3294143016980229,Scenic/peaceful travel destinations
11,away,0.030998092,145.0,1.5215680853836226,Scenic/peaceful travel destinations
11,drop,0.024911195,53.0,1.9536150508008083,Scenic/peaceful travel destinations
11,departure,0.0216934,136.0,0.9240820678590842,Scenic/peaceful travel destinations
12,ready,0.3322813,36.0,2.288086279953353,"Flight seating (i.e. group seating, upgrades)"
12,thank,0.19158733,76.0,1.3495647108037954,"Flight seating (i.e. group seating, upgrades)"
12,way,0.12828122,45.0,1.9636704313899815,"Flight seating (i.e. group seating, upgrades)"
12,seat,0.12753262,59.0,2.097816327750233,"Flight seating (i.e. group seating, upgrades)"
12,choose,0.0703766,40.0,1.1497080607155599,"Flight seating (i.e. group seating, upgrades)"
12,leave,0.043022487,26.0,1.9416358104097902,"Flight seating (i.e. group seating, upgrades)"
12,hand,0.026801744,22.0,2.3023457448712312,"Flight seating (i.e. group seating, upgrades)"
12,nice,0.010415176,23.0,0.7700934579439253,"Flight seating (i.e. group seating, upgrades)"
12,go,7.1421114e-06,14.0,2.2526801514800434,"Flight seating (i.e. group seating, upgrades)"
12,amaze,7.1264667e-06,2.0,1.6776541405267966,"Flight seating (i.e. group seating, upgrades)"
13,travel,0.5824695,1116.0,1.7105200939459042,Travel alerts and advisories
13,minute,0.08615254,37.0,1.6698304237536958,Travel alerts and advisories
13,detail,0.05173554,307.0,1.9079027066232477,Travel alerts and advisories
13,ensure,0.049313284,84.0,2.9770456406700356,Travel alerts and advisories
13,online,0.03701653,210.0,1.6387838602973757,Travel alerts and advisories
13,result,0.03315492,59.0,,Travel alerts and advisories
13,mile,0.032828875,169.0,1.515647474630898,Travel alerts and advisories
13,send,0.016092261,65.0,1.3086912429179653,Travel alerts and advisories
13,smile,0.014481931,72.0,2.3398598079568,Travel alerts and advisories
13,delay,0.009485815,40.0,1.2545854732208364,Travel alerts and advisories
14,visit,0.17819194,840.0,1.643277960658903,Visit our website for more info
14,enjoy,0.17497294,464.0,1.760627825021728,Visit our website for more info
14,airport,0.13314247,407.0,1.6058346605665699,Visit our website for more info
14,take,0.108682856,355.0,2.0965813496188503,Visit our website for more info
14,love,0.058995374,408.0,1.9350491480389604,Visit our website for more info
14,soon,0.038327295,195.0,1.7238874001229254,Visit our website for more info
14,information,0.0359498,395.0,1.6416184971098267,Visit our website for more info
14,operation,0.033873513,139.0,1.7815225485733774,Visit our website for more info
14,announce,0.03321281,147.0,1.7830089743993065,Visit our website for more info
14,spot,0.032556348,178.0,1.8928861751732826,Visit our website for more info
16,check,0.19022228,583.0,1.414707715875958,Tips for comfortable travel experience
16,experience,0.16955957,415.0,1.680152101280882,Tips for comfortable travel experience
16,airline,0.13400349,379.0,2.1436483398306225,Tips for comfortable travel experience
16,trip,0.097944655,406.0,1.515012225184353,Tips for comfortable travel experience
16,discover,0.06920313,277.0,1.6686340096337233,Tips for comfortable travel experience
16,baggage,0.057725385,100.0,1.8094969090970592,Tips for comfortable travel experience
16,holiday,0.051043734,229.0,1.558139534883721,Tips for comfortable travel experience
16,begin,0.048340634,109.0,1.98386750243743,Tips for comfortable travel experience
16,update,0.04306021,291.0,1.1221355112204663,Tips for comfortable travel experience
16,late,0.037840784,221.0,1.9009184074830165,Tips for comfortable travel experience
